iter	Accuracy	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
104	0.6971947192	0.6895513927	0.6971947192	0.6975	0.7061649297	0.7084337349	0.6858475851	0.6901408451	0.7277227723	0.7277227723
105	0.6947194717	0.6894944409	0.6947194717	0.695	0.7030497569	0.7053140097	0.6843749957	0.6886792453	0.7227722772	0.7227722772
106	0.7073957395	0.6894522067	0.7073957395	0.7075	0.7104149633	0.7125307125	0.7031594374	0.7073170732	0.7178217822	0.7178217822
107	0.709870987	0.6894366929	0.709870987	0.71	0.7135663486	0.7156862745	0.7045919818	0.7087378641	0.7227722772	0.7227722772
108	0.7098209819	0.6894030891	0.7098209819	0.71	0.7149243445	0.7170731707	0.7025683071	0.7067307692	0.7277227723	0.7277227723
109	0.714871487	0.6893575164	0.714871487	0.715	0.7184892598	0.7205882353	0.7094871253	0.713592233	0.7277227723	0.7277227723
110	0.7248224821	0.6893172765	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
111	0.7223972396	0.6892828535	0.7223972396	0.7225	0.7252208755	0.7272727273	0.7179185613	0.7219512195	0.7326732673	0.7326732673
112	0.7198719871	0.6892599694	0.7198719871	0.72	0.7234126571	0.7254901961	0.7143832236	0.7184466019	0.7326732673	0.7326732673
113	0.7199219921	0.6892145787	0.7199219921	0.72	0.7220899056	0.724137931	0.7165435705	0.7205882353	0.7277227723	0.7277227723
114	0.7173967396	0.6891847176	0.7173967396	0.7175	0.7202850829	0.7223587224	0.7129978892	0.7170731707	0.7277227723	0.7277227723
115	0.7173967396	0.689159317	0.7173967396	0.7175	0.7202850829	0.7223587224	0.7129978892	0.7170731707	0.7277227723	0.7277227723
116	0.714871487	0.6891483231	0.714871487	0.715	0.7184892598	0.7205882353	0.7094871253	0.713592233	0.7277227723	0.7277227723
117	0.7198719871	0.6891123952	0.7198719871	0.72	0.7234126571	0.7254901961	0.7143832236	0.7184466019	0.7326732673	0.7326732673
118	0.7198719871	0.6890940895	0.7198719871	0.72	0.7234126571	0.7254901961	0.7143832236	0.7184466019	0.7326732673	0.7326732673
119	0.7248224821	0.6890635803	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
120	0.7223472346	0.6890370844	0.7223472346	0.7225	0.7265249813	0.728606357	0.7157552485	0.7198067633	0.7376237624	0.7376237624
121	0.724772477	0.6890014431	0.724772477	0.725	0.7308952211	0.7330097087	0.7149894736	0.719047619	0.7475247525	0.7475247525
122	0.724772477	0.6889829419	0.724772477	0.725	0.7308952211	0.7330097087	0.7149894736	0.719047619	0.7475247525	0.7475247525
123	0.7273477346	0.6889330631	0.7273477346	0.7275	0.7314370131	0.7334963325	0.7206289085	0.7246376812	0.7425742574	0.7425742574
124	0.7273477346	0.688915522	0.7273477346	0.7275	0.7314370131	0.7334963325	0.7206289085	0.7246376812	0.7425742574	0.7425742574
125	0.7222972295	0.6888963902	0.7222972295	0.7225	0.7278163039	0.7299270073	0.7136335199	0.7177033493	0.7425742574	0.7425742574
126	0.7273477346	0.6888536876	0.7273477346	0.7275	0.7314370131	0.7334963325	0.7206289085	0.7246376812	0.7425742574	0.7425742574
127	0.7222972295	0.6888188936	0.7222972295	0.7225	0.7278163039	0.7299270073	0.7136335199	0.7177033493	0.7425742574	0.7425742574
128	0.7248224821	0.6887688384	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
129	0.7248224821	0.6887450575	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
130	0.7198719871	0.6887040268	0.7198719871	0.72	0.7234126571	0.7254901961	0.7143832236	0.7184466019	0.7326732673	0.7326732673
131	0.7248224821	0.6886816982	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
132	0.7248224821	0.6886648964	0.7248224821	0.725	0.7296221666	0.7317073171	0.7171141547	0.7211538462	0.7425742574	0.7425742574
133	0.7173967396	0.6886311506	0.7173967396	0.7175	0.7202850829	0.7223587224	0.7129978892	0.7170731707	0.7277227723	0.7277227723
134	0.7223472346	0.6886139578	0.7223472346	0.7225	0.7265249813	0.728606357	0.7157552485	0.7198067633	0.7376237624	0.7376237624
135	0.7223472346	0.6885737051	0.7223472346	0.7225	0.7265249813	0.728606357	0.7157552485	0.7198067633	0.7376237624	0.7376237624
136	0.7223972396	0.688552687	0.7223972396	0.7225	0.7252208755	0.7272727273	0.7179185613	0.7219512195	0.7326732673	0.7326732673
137	0.719821982	0.688527765	0.719821982	0.72	0.7247224112	0.7268292683	0.7122646024	0.7163461538	0.7376237624	0.7376237624
138	0.7198719871	0.688500339	0.7198719871	0.72	0.7234126571	0.7254901961	0.7143832236	0.7184466019	0.7326732673	0.7326732673
139	0.7272977296	0.6884513359	0.7272977296	0.7275	0.7327043233	0.7347931873	0.7184601296	0.7224880383	0.7475247525	0.7475247525
140	0.7298729872	0.6884316978	0.7298729872	0.73	0.7332609104	0.7352941176	0.7241782853	0.7281553398	0.7425742574	0.7425742574
141	0.7323982397	0.6883917749	0.7323982397	0.7325	0.7350939266	0.7371007371	0.7277627993	0.7317073171	0.7425742574	0.7425742574
142	0.7274977498	0.6883401342	0.7274977498	0.7275	0.7275590531	0.729528536	0.7273954076	0.7313432836	0.7277227723	0.7277227723
143	0.7349234923	0.6882920166	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
144	0.7349234923	0.6882671613	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
145	0.7349234923	0.6882442837	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
146	0.7249724972	0.6882063141	0.7249724972	0.725	0.7257268219	0.7277227723	0.7237417903	0.7277227723	0.7277227723	0.7277227723
147	0.7374487448	0.6881455864	0.7374487448	0.7375	0.7387875904	0.7407407407	0.7350393467	0.7389162562	0.7425742574	0.7425742574
148	0.7349234923	0.6881165548	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
149	0.7349234923	0.6880713738	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
150	0.7323982397	0.6880566216	0.7323982397	0.7325	0.7350939266	0.7371007371	0.7277627993	0.7317073171	0.7425742574	0.7425742574
151	0.7299229922	0.6880315171	0.7299229922	0.73	0.7319868975	0.7339901478	0.7264355323	0.7303921569	0.7376237624	0.7376237624
152	0.7349234923	0.6879937835	0.7349234923	0.735	0.7369361302	0.7389162562	0.7313829748	0.7352941176	0.7425742574	0.7425742574
153	0.7324482448	0.6879562258	0.7324482448	0.7325	0.7338258319	0.7358024691	0.7300668112	0.7339901478	0.7376237624	0.7376237624
154	0.7299229922	0.6879349264	0.7299229922	0.73	0.7319868975	0.7339901478	0.7264355323	0.7303921569	0.7376237624	0.7376237624
155	0.7299229922	0.6879079803	0.7299229922	0.73	0.7319868975	0.7339901478	0.7264355323	0.7303921569	0.7376237624	0.7376237624
156	0.7274477447	0.6878873169	0.7274477447	0.7275	0.7288645671	0.7308641975	0.72509526	0.7290640394	0.7326732673	0.7326732673
157	0.7324482448	0.6878624337	0.7324482448	0.7325	0.7338258319	0.7358024691	0.7300668112	0.7339901478	0.7376237624	0.7376237624
158	0.7299229922	0.6878077465	0.7299229922	0.73	0.7319868975	0.7339901478	0.7264355323	0.7303921569	0.7376237624	0.7376237624
159	0.7399239923	0.6877369948	0.7399239923	0.74	0.7418858541	0.7438423645	0.736331392	0.7401960784	0.7475247525	0.7475247525
160	0.7349734973	0.6876963946	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
161	0.7349734973	0.6876777906	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
162	0.7349734973	0.6876413475	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
163	0.7324982498	0.6876204982	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
164	0.7324982498	0.6875807201	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
165	0.7324982498	0.6875211891	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
166	0.7349734973	0.6874816469	0.7349734973	0.735	0.7356740292	0.7376237624	0.7337345763	0.7376237624	0.7376237624	0.7376237624
167	0.7324982498	0.6874607576	0.7324982498	0.7325	0.7325450572	0.7344913151	0.7324168918	0.736318408	0.7326732673	0.7326732673
168	0.7374487448	0.6874272573	0.7374487448	0.7375	0.7387875904	0.7407407407	0.7350393467	0.7389162562	0.7425742574	0.7425742574
169	0.7399239923	0.6873968405	0.7399239923	0.74	0.7418858541	0.7438423645	0.736331392	0.7401960784	0.7475247525	0.7475247525
170	0.7374487448	0.6873767716	0.7374487448	0.7375	0.7387875904	0.7407407407	0.7350393467	0.7389162562	0.7425742574	0.7425742574
171	0.7374487448	0.687360646	0.7374487448	0.7375	0.7387875904	0.7407407407	0.7350393467	0.7389162562	0.7425742574	0.7425742574
172	0.7423992398	0.6873181562	0.7423992398	0.7425	0.7449689329	0.7469287469	0.7376108975	0.7414634146	0.7524752475	0.7524752475
173	0.7424492449	0.6872915682	0.7424492449	0.7425	0.7437498426	0.7456790123	0.7400128668	0.7438423645	0.7475247525	0.7475247525
174	0.7449744974	0.6872553165	0.7449744974	0.745	0.7456232212	0.7475247525	0.7437313395	0.7475247525	0.7475247525	0.7475247525
175	0.7424992499	0.6872219677	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
176	0.7424492449	0.6871616846	0.7424492449	0.7425	0.7437498426	0.7456790123	0.7400128668	0.7438423645	0.7475247525	0.7475247525
177	0.7500250025	0.68712184	0.7500250025	0.75	0.7493984341	0.7512437811	0.7512815321	0.755	0.7475247525	0.7475247525
178	0.7424992499	0.6870807105	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
179	0.7399739974	0.6870513605	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
180	0.7399739974	0.6870229492	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
181	0.7399739974	0.6869864437	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
182	0.7424992499	0.6869391819	0.7424992499	0.7425	0.742518561	0.7444168734	0.742462873	0.7462686567	0.7425742574	0.7425742574
183	0.7399739974	0.6868700296	0.7399739974	0.74	0.7406483771	0.7425742574	0.7387324606	0.7425742574	0.7425742574	0.7425742574
184	0.7350235024	0.6868234397	0.7350235024	0.735	0.7343992763	0.736318408	0.7361334366	0.74	0.7326732673	0.7326732673
185	0.7400240024	0.6867581016	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
186	0.747549755	0.6867279913	0.747549755	0.7475	0.7462874067	0.7481296758	0.7500378769	0.7537688442	0.7425742574	0.7425742574
187	0.7450245025	0.6866979397	0.7450245025	0.745	0.7443982136	0.7462686567	0.746231152	0.75	0.7425742574	0.7425742574
188	0.7450245025	0.6866758237	0.7450245025	0.745	0.7443982136	0.7462686567	0.746231152	0.75	0.7425742574	0.7425742574
189	0.7450245025	0.6866521468	0.7450245025	0.745	0.7443982136	0.7462686567	0.746231152	0.75	0.7425742574	0.7425742574
190	0.7400240024	0.6866216022	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
191	0.7400240024	0.6865893018	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
192	0.7375487549	0.6865109268	0.7375487549	0.7375	0.7362629061	0.7381546135	0.7398878919	0.743718593	0.7326732673	0.7326732673
193	0.742549255	0.686458268	0.742549255	0.7425	0.7412749045	0.7431421446	0.7449623718	0.7487437186	0.7376237624	0.7376237624
194	0.7400740075	0.6864316941	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
195	0.742549255	0.686399745	0.742549255	0.7425	0.7412749045	0.7431421446	0.7449623718	0.7487437186	0.7376237624	0.7376237624
196	0.7400240024	0.6863658982	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
197	0.7400240024	0.6863222276	0.7400240024	0.74	0.7393984943	0.7412935323	0.7411817869	0.745	0.7376237624	0.7376237624
198	0.7400740075	0.6862736929	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
199	0.7400740075	0.6862546201	0.7400740075	0.74	0.7381360183	0.74	0.7436808408	0.7474747475	0.7326732673	0.7326732673
200	0.742549255	0.6862017998	0.742549255	0.7425	0.7412749045	0.7431421446	0.7449623718	0.7487437186	0.7376237624	0.7376237624
